"DATE","TIME PERIOD","Loans vis-a-vis domestic Non-MFIs reported by MFIs excl. ESCB, Stocks (BSI.Q.DE.N.A.A20.A.1.U6.2000.Z01.E)"
"1997-09-30","1997Q3","2326414.39"
"1997-12-31","1997Q4","2378427.09"
"1998-03-31","1998Q1","2393496.39"
"1998-06-30","1998Q2","2415208.40"
"1998-09-30","1998Q3","2446289.33"
"1998-12-31","1998Q4","2508192.46"
"1999-03-31","1999Q1","2478213.00"
"1999-06-30","1999Q2","2511089.00"
"1999-09-30","1999Q3","2534782.00"
"1999-12-31","1999Q4","2581892.00"
"2000-03-31","2000Q1","2605226.00"
"2000-06-30","2000Q2","2628999.00"
"2000-09-30","2000Q3","2642201.00"
"2000-12-31","2000Q4","2665094.00"
"2001-03-31","2001Q1","2686624.00"
"2001-06-30","2001Q2","2682067.00"
"2001-09-30","2001Q3","2685441.00"
"2001-12-31","2001Q4","2704429.00"
"2002-03-31","2002Q1","2694582.00"
"2002-06-30","2002Q2","2683262.00"
"2002-09-30","2002Q3","2687556.00"
"2002-12-31","2002Q4","2689254.00"
"2003-03-31","2003Q1","2682115.00"
"2003-06-30","2003Q2","2674319.00"
"2003-09-30","2003Q3","2680336.00"
"2003-12-31","2003Q4","2680772.00"
"2004-03-31","2004Q1","2673746.00"
"2004-06-30","2004Q2","2655548.00"
"2004-09-30","2004Q3","2655362.00"
"2004-12-31","2004Q4","2646764.00"
"2005-03-31","2005Q1","2637268.00"
"2005-06-30","2005Q2","2639016.00"
"2005-09-30","2005Q3","2648985.00"
"2005-12-31","2005Q4","2635077.00"
"2006-03-31","2006Q1","2659671.00"
"2006-06-30","2006Q2","2656315.00"
"2006-09-30","2006Q3","2668673.00"
"2006-12-31","2006Q4","2632189.00"
"2007-03-31","2007Q1","2640431.00"
"2007-06-30","2007Q2","2634061.00"
"2007-09-30","2007Q3","2644687.00"
"2007-12-31","2007Q4","2649494.00"
"2008-03-31","2008Q1","2667304.00"
"2008-06-30","2008Q2","2683035.00"
"2008-09-30","2008Q3","2699566.00"
"2008-12-31","2008Q4","2700066.00"
"2009-03-31","2009Q1","2721542.00"
"2009-06-30","2009Q2","2724793.00"
"2009-09-30","2009Q3","2715461.00"
"2009-12-31","2009Q4","2692548.00"
"2010-03-31","2010Q1","2682440.00"
"2010-06-30","2010Q2","2717076.00"
"2010-09-30","2010Q3","2700438.00"
"2010-12-31","2010Q4","2773133.00"
"2011-03-31","2011Q1","2758093.00"
"2011-06-30","2011Q2","2749445.00"
"2011-09-30","2011Q3","2778814.00"
"2011-12-31","2011Q4","2774948.00"
"2012-03-31","2012Q1","2787633.00"
"2012-06-30","2012Q2","2802572.00"
"2012-09-30","2012Q3","2818352.00"
"2012-12-31","2012Q4","2785987.00"
"2013-03-31","2013Q1","2796178.00"
"2013-06-30","2013Q2","2806444.00"
"2013-09-30","2013Q3","2692591.00"
"2013-12-31","2013Q4","2693198.00"
"2014-03-31","2014Q1","2692920.00"
"2014-06-30","2014Q2","2697369.00"
"2014-09-30","2014Q3","2707429.00"
"2014-12-31","2014Q4","2712619.00"
"2015-03-31","2015Q1","2739024.00"
"2015-06-30","2015Q2","2745557.00"
"2015-09-30","2015Q3","2756389.00"
"2015-12-31","2015Q4","2764488.00"
"2016-03-31","2016Q1","2786330.00"
"2016-06-30","2016Q2","2797571.00"
"2016-09-30","2016Q3","2820268.00"
"2016-12-31","2016Q4","2824222.00"
"2017-03-31","2017Q1","2840936.00"
"2017-06-30","2017Q2","2856148.00"
"2017-09-30","2017Q3","2878511.00"
"2017-12-31","2017Q4","2894430.00"
"2018-03-31","2018Q1","2919954.00"
"2018-06-30","2018Q2","2942192.00"
"2018-09-30","2018Q3","2971945.00"
"2018-12-31","2018Q4","2990444.00"
"2019-03-31","2019Q1","3026312.00"
"2019-06-30","2019Q2","3067284.00"
"2019-09-30","2019Q3","3094729.00"
"2019-12-31","2019Q4","3119574.00"
"2020-03-31","2020Q1","3174386.00"
"2020-06-30","2020Q2","3206884.00"
"2020-09-30","2020Q3","3224658.00"
"2020-12-31","2020Q4","3245404.00"
"2021-03-31","2021Q1","3287798.00"
"2021-06-30","2021Q2","3305929.00"
"2021-09-30","2021Q3","3342143.00"
"2021-12-31","2021Q4","3392734.00"
"2022-03-31","2022Q1","3449281.00"
"2022-06-30","2022Q2","3513616.00"
"2022-09-30","2022Q3","3595622.00"
"2022-12-31","2022Q4","3613348.00"
"2023-03-31","2023Q1","3634888.00"
"2023-06-30","2023Q2","3645806.00"
"2023-09-30","2023Q3","3653660.00"
"2023-12-31","2023Q4","3649997.00"
"2024-03-31","2024Q1","3658522.00"
"2024-06-30","2024Q2","3671017.00"
"2024-09-30","2024Q3","3684924.00"
"2024-12-31","2024Q4","3701513.00"
"2025-03-31","2025Q1","3717891.00"
"2025-06-30","2025Q2","3732647.00"
"2025-09-30","2025Q3","3755834.00"
