"DATE","TIME PERIOD","Loans vis-a-vis domestic Non-MFIs reported by MFIs excl. ESCB, Stocks (BSI.Q.IT.N.A.A20.A.1.U6.2000.Z01.E)"
"1997-09-30","1997Q3","676370.00"
"1997-12-31","1997Q4","706772.00"
"1998-03-31","1998Q1","708601.00"
"1998-06-30","1998Q2","723182.00"
"1998-09-30","1998Q3","718979.00"
"1998-12-31","1998Q4","752063.00"
"1999-03-31","1999Q1","758637.00"
"1999-06-30","1999Q2","785641.00"
"1999-09-30","1999Q3","784781.00"
"1999-12-31","1999Q4","824481.00"
"2000-03-31","2000Q1","841154.00"
"2000-06-30","2000Q2","871045.00"
"2000-09-30","2000Q3","881013.00"
"2000-12-31","2000Q4","922799.00"
"2001-03-31","2001Q1","934286.00"
"2001-06-30","2001Q2","946436.00"
"2001-09-30","2001Q3","951900.00"
"2001-12-31","2001Q4","980578.00"
"2002-03-31","2002Q1","983427.00"
"2002-06-30","2002Q2","1001339.00"
"2002-09-30","2002Q3","998491.00"
"2002-12-31","2002Q4","1036280.00"
"2003-03-31","2003Q1","1047505.00"
"2003-06-30","2003Q2","1065957.00"
"2003-09-30","2003Q3","1072106.00"
"2003-12-31","2003Q4","1101164.00"
"2004-03-31","2004Q1","1089627.00"
"2004-06-30","2004Q2","1116895.00"
"2004-09-30","2004Q3","1122762.00"
"2004-12-31","2004Q4","1160389.00"
"2005-03-31","2005Q1","1181479.00"
"2005-06-30","2005Q2","1211192.00"
"2005-09-30","2005Q3","1215494.00"
"2005-12-31","2005Q4","1250210.00"
"2006-03-31","2006Q1","1276391.00"
"2006-06-30","2006Q2","1319413.00"
"2006-09-30","2006Q3","1340212.00"
"2006-12-31","2006Q4","1384340.00"
"2007-03-31","2007Q1","1413942.00"
"2007-06-30","2007Q2","1453355.00"
"2007-09-30","2007Q3","1463865.00"
"2007-12-31","2007Q4","1678191.00"
"2008-03-31","2008Q1","1705993.00"
"2008-06-30","2008Q2","1726977.00"
"2008-09-30","2008Q3","1734960.00"
"2008-12-31","2008Q4","1761628.00"
"2009-03-31","2009Q1","1756701.00"
"2009-06-30","2009Q2","1782996.00"
"2009-09-30","2009Q3","1768266.00"
"2009-12-31","2009Q4","1800271.00"
"2010-03-31","2010Q1","1805320.00"
"2010-06-30","2010Q2","1892342.00"
"2010-09-30","2010Q3","1918463.00"
"2010-12-31","2010Q4","1945879.00"
"2011-03-31","2011Q1","1965472.00"
"2011-06-30","2011Q2","1984143.00"
"2011-09-30","2011Q3","1985838.00"
"2011-12-31","2011Q4","1972293.00"
"2012-03-31","2012Q1","1981226.00"
"2012-06-30","2012Q2","1981427.00"
"2012-09-30","2012Q3","1999962.00"
"2012-12-31","2012Q4","1995362.00"
"2013-03-31","2013Q1","1976509.00"
"2013-06-30","2013Q2","1950120.00"
"2013-09-30","2013Q3","1937761.00"
"2013-12-31","2013Q4","1930714.00"
"2014-03-31","2014Q1","1925422.00"
"2014-06-30","2014Q2","1920538.00"
"2014-09-30","2014Q3","1905871.00"
"2014-12-31","2014Q4","1919471.00"
"2015-03-31","2015Q1","1936777.00"
"2015-06-30","2015Q2","1935012.00"
"2015-09-30","2015Q3","1914802.00"
"2015-12-31","2015Q4","1913909.00"
"2016-03-31","2016Q1","1930256.00"
"2016-06-30","2016Q2","1909754.00"
"2016-09-30","2016Q3","1889468.00"
"2016-12-31","2016Q4","1889462.00"
"2017-03-31","2017Q1","1884110.00"
"2017-06-30","2017Q2","1864856.00"
"2017-09-30","2017Q3","1830619.00"
"2017-12-31","2017Q4","1835867.00"
"2018-03-31","2018Q1","1845459.00"
"2018-06-30","2018Q2","1816624.00"
"2018-09-30","2018Q3","1801356.00"
"2018-12-31","2018Q4","1789506.00"
"2019-03-31","2019Q1","1783299.00"
"2019-06-30","2019Q2","1776240.00"
"2019-09-30","2019Q3","1786085.00"
"2019-12-31","2019Q4","1756015.00"
"2020-03-31","2020Q1","1776963.00"
"2020-06-30","2020Q2","1766637.00"
"2020-09-30","2020Q3","1780110.00"
"2020-12-31","2020Q4","1764316.00"
"2021-03-31","2021Q1","1766943.00"
"2021-06-30","2021Q2","1766293.00"
"2021-09-30","2021Q3","1755125.00"
"2021-12-31","2021Q4","1764291.00"
"2022-03-31","2022Q1","1783215.00"
"2022-06-30","2022Q2","1783738.00"
"2022-09-30","2022Q3","1786998.00"
"2022-12-31","2022Q4","1770420.00"
"2023-03-31","2023Q1","1747739.00"
"2023-06-30","2023Q2","1735438.00"
"2023-09-30","2023Q3","1705299.00"
"2023-12-31","2023Q4","1710479.00"
"2024-03-31","2024Q1","1698841.00"
"2024-06-30","2024Q2","1699158.00"
"2024-09-30","2024Q3","1687490.00"
"2024-12-31","2024Q4","1678329.00"
"2025-03-31","2025Q1","1681970.00"
"2025-06-30","2025Q2","1703565.00"
"2025-09-30","2025Q3","1700212.00"
