"DATE","TIME PERIOD","Loans vis-a-vis domestic Non-MFIs reported by MFIs excl. ESCB, Stocks (BSI.Q.NL.N.A.A20.A.1.U6.2000.Z01.E)"
"1997-09-30","1997Q3","368001.00"
"1997-12-31","1997Q4","380742.00"
"1998-03-31","1998Q1","400615.00"
"1998-06-30","1998Q2","412383.00"
"1998-09-30","1998Q3","429534.00"
"1998-12-31","1998Q4","438375.00"
"1999-03-31","1999Q1","453182.00"
"1999-06-30","1999Q2","470512.00"
"1999-09-30","1999Q3","480325.00"
"1999-12-31","1999Q4","495004.00"
"2000-03-31","2000Q1","517796.00"
"2000-06-30","2000Q2","533611.00"
"2000-09-30","2000Q3","559764.00"
"2000-12-31","2000Q4","561040.00"
"2001-03-31","2001Q1","588413.00"
"2001-06-30","2001Q2","591885.00"
"2001-09-30","2001Q3","599649.00"
"2001-12-31","2001Q4","602030.00"
"2002-03-31","2002Q1","628118.00"
"2002-06-30","2002Q2","643406.00"
"2002-09-30","2002Q3","650305.00"
"2002-12-31","2002Q4","647226.00"
"2003-03-31","2003Q1","659562.00"
"2003-06-30","2003Q2","673214.00"
"2003-09-30","2003Q3","680591.00"
"2003-12-31","2003Q4","695570.00"
"2004-03-31","2004Q1","705708.00"
"2004-06-30","2004Q2","726206.00"
"2004-09-30","2004Q3","744599.00"
"2004-12-31","2004Q4","761306.00"
"2005-03-31","2005Q1","775397.00"
"2005-06-30","2005Q2","798278.00"
"2005-09-30","2005Q3","829895.00"
"2005-12-31","2005Q4","829695.00"
"2006-03-31","2006Q1","835567.00"
"2006-06-30","2006Q2","842866.00"
"2006-09-30","2006Q3","852023.00"
"2006-12-31","2006Q4","864515.00"
"2007-03-31","2007Q1","888804.00"
"2007-06-30","2007Q2","900981.00"
"2007-09-30","2007Q3","906236.00"
"2007-12-31","2007Q4","903958.00"
"2008-03-31","2008Q1","935487.00"
"2008-06-30","2008Q2","953856.00"
"2008-09-30","2008Q3","974421.00"
"2008-12-31","2008Q4","930774.00"
"2009-03-31","2009Q1","936808.00"
"2009-06-30","2009Q2","954013.00"
"2009-09-30","2009Q3","939404.00"
"2009-12-31","2009Q4","983829.00"
"2010-03-31","2010Q1","999278.00"
"2010-06-30","2010Q2","955776.00"
"2010-09-30","2010Q3","938667.00"
"2010-12-31","2010Q4","964166.00"
"2011-03-31","2011Q1","1009160.00"
"2011-06-30","2011Q2","1015975.00"
"2011-09-30","2011Q3","1023928.00"
"2011-12-31","2011Q4","997936.00"
"2012-03-31","2012Q1","1001768.00"
"2012-06-30","2012Q2","1025909.00"
"2012-09-30","2012Q3","1034927.00"
"2012-12-31","2012Q4","1032308.00"
"2013-03-31","2013Q1","1045703.00"
"2013-06-30","2013Q2","1040577.00"
"2013-09-30","2013Q3","1029073.00"
"2013-12-31","2013Q4","1004046.00"
"2014-03-31","2014Q1","1000074.00"
"2014-06-30","2014Q2","1000833.00"
"2014-09-30","2014Q3","1001851.00"
"2014-12-31","2014Q4","985508.00"
"2015-03-31","2015Q1","1009506.00"
"2015-06-30","2015Q2","992229.00"
"2015-09-30","2015Q3","967209.00"
"2015-12-31","2015Q4","966165.00"
"2016-03-31","2016Q1","1001459.00"
"2016-06-30","2016Q2","961474.00"
"2016-09-30","2016Q3","969747.00"
"2016-12-31","2016Q4","1004291.00"
"2017-03-31","2017Q1","1030325.00"
"2017-06-30","2017Q2","1013500.00"
"2017-09-30","2017Q3","1031148.00"
"2017-12-31","2017Q4","1012079.00"
"2018-03-31","2018Q1","1009953.00"
"2018-06-30","2018Q2","992101.00"
"2018-09-30","2018Q3","993661.00"
"2018-12-31","2018Q4","987716.00"
"2019-03-31","2019Q1","1005245.00"
"2019-06-30","2019Q2","1003191.00"
"2019-09-30","2019Q3","1006456.00"
"2019-12-31","2019Q4","996700.00"
"2020-03-31","2020Q1","1019382.00"
"2020-06-30","2020Q2","1005508.00"
"2020-09-30","2020Q3","1005051.00"
"2020-12-31","2020Q4","1000186.00"
"2021-03-31","2021Q1","1006708.00"
"2021-06-30","2021Q2","1013372.00"
"2021-09-30","2021Q3","1030115.00"
"2021-12-31","2021Q4","1009559.00"
"2022-03-31","2022Q1","1037744.00"
"2022-06-30","2022Q2","1063496.00"
"2022-09-30","2022Q3","1076827.00"
"2022-12-31","2022Q4","1056956.00"
"2023-03-31","2023Q1","1070158.00"
"2023-06-30","2023Q2","1084100.00"
"2023-09-30","2023Q3","1080720.00"
"2023-12-31","2023Q4","1088781.00"
"2024-03-31","2024Q1","1103460.00"
"2024-06-30","2024Q2","1105914.00"
"2024-09-30","2024Q3","1113014.00"
"2024-12-31","2024Q4","1109176.00"
"2025-03-31","2025Q1","1135713.00"
"2025-06-30","2025Q2","1144642.00"
"2025-09-30","2025Q3","1163033.00"
