"DATE","TIME PERIOD","Loans vis-a-vis domestic Non-MFIs reported by MFIs excl. ESCB, Stocks (BSI.Q.ES.N.A.A20.A.1.U6.2000.Z01.E)"
"1997-09-30","1997Q3","377072.00"
"1997-12-31","1997Q4","391733.00"
"1998-03-31","1998Q1","399588.00"
"1998-06-30","1998Q2","416716.00"
"1998-09-30","1998Q3","426336.00"
"1998-12-31","1998Q4","445451.00"
"1999-03-31","1999Q1","453427.00"
"1999-06-30","1999Q2","482461.00"
"1999-09-30","1999Q3","490376.00"
"1999-12-31","1999Q4","508314.00"
"2000-03-31","2000Q1","524480.00"
"2000-06-30","2000Q2","550687.00"
"2000-09-30","2000Q3","564813.00"
"2000-12-31","2000Q4","590492.00"
"2001-03-31","2001Q1","596057.00"
"2001-06-30","2001Q2","624779.00"
"2001-09-30","2001Q3","634241.00"
"2001-12-31","2001Q4","658008.00"
"2002-03-31","2002Q1","673902.00"
"2002-06-30","2002Q2","699833.00"
"2002-09-30","2002Q3","712986.00"
"2002-12-31","2002Q4","734689.00"
"2003-03-31","2003Q1","754834.00"
"2003-06-30","2003Q2","788667.00"
"2003-09-30","2003Q3","803397.00"
"2003-12-31","2003Q4","836907.00"
"2004-03-31","2004Q1","867349.00"
"2004-06-30","2004Q2","916241.00"
"2004-09-30","2004Q3","940328.00"
"2004-12-31","2004Q4","982677.00"
"2005-03-31","2005Q1","1027751.00"
"2005-06-30","2005Q2","1123685.00"
"2005-09-30","2005Q3","1169886.00"
"2005-12-31","2005Q4","1242765.00"
"2006-03-31","2006Q1","1305422.00"
"2006-06-30","2006Q2","1389736.00"
"2006-09-30","2006Q3","1458015.00"
"2006-12-31","2006Q4","1548932.00"
"2007-03-31","2007Q1","1609182.00"
"2007-06-30","2007Q2","1693918.00"
"2007-09-30","2007Q3","1746097.00"
"2007-12-31","2007Q4","1801895.00"
"2008-03-31","2008Q1","1835871.00"
"2008-06-30","2008Q2","1884663.00"
"2008-09-30","2008Q3","1897948.00"
"2008-12-31","2008Q4","1924111.00"
"2009-03-31","2009Q1","1918286.00"
"2009-06-30","2009Q2","1924939.00"
"2009-09-30","2009Q3","1911110.00"
"2009-12-31","2009Q4","1906450.00"
"2010-03-31","2010Q1","1900031.00"
"2010-06-30","2010Q2","1927662.00"
"2010-09-30","2010Q3","1928454.00"
"2010-12-31","2010Q4","1935987.00"
"2011-03-31","2011Q1","1921662.00"
"2011-06-30","2011Q2","1918058.00"
"2011-09-30","2011Q3","1890616.00"
"2011-12-31","2011Q4","1886526.00"
"2012-03-31","2012Q1","1874447.00"
"2012-06-30","2012Q2","1881739.00"
"2012-09-30","2012Q3","1838468.00"
"2012-12-31","2012Q4","1732827.00"
"2013-03-31","2013Q1","1685761.00"
"2013-06-30","2013Q2","1624235.00"
"2013-09-30","2013Q3","1584929.00"
"2013-12-31","2013Q4","1540420.00"
"2014-03-31","2014Q1","1515645.00"
"2014-06-30","2014Q2","1499636.00"
"2014-09-30","2014Q3","1462602.00"
"2014-12-31","2014Q4","1460214.00"
"2015-03-31","2015Q1","1454994.00"
"2015-06-30","2015Q2","1433269.00"
"2015-09-30","2015Q3","1412186.00"
"2015-12-31","2015Q4","1392235.00"
"2016-03-31","2016Q1","1366112.00"
"2016-06-30","2016Q2","1373755.00"
"2016-09-30","2016Q3","1346554.00"
"2016-12-31","2016Q4","1337852.00"
"2017-03-31","2017Q1","1328160.00"
"2017-06-30","2017Q2","1322401.00"
"2017-09-30","2017Q3","1303242.00"
"2017-12-31","2017Q4","1302234.00"
"2018-03-31","2018Q1","1274014.00"
"2018-06-30","2018Q2","1278796.00"
"2018-09-30","2018Q3","1258205.00"
"2018-12-31","2018Q4","1245382.00"
"2019-03-31","2019Q1","1242425.00"
"2019-06-30","2019Q2","1256485.00"
"2019-09-30","2019Q3","1233481.00"
"2019-12-31","2019Q4","1225893.00"
"2020-03-31","2020Q1","1234858.00"
"2020-06-30","2020Q2","1284163.00"
"2020-09-30","2020Q3","1262685.00"
"2020-12-31","2020Q4","1274513.00"
"2021-03-31","2021Q1","1273845.00"
"2021-06-30","2021Q2","1292459.00"
"2021-09-30","2021Q3","1274809.00"
"2021-12-31","2021Q4","1276067.00"
"2022-03-31","2022Q1","1267989.00"
"2022-06-30","2022Q2","1291136.00"
"2022-09-30","2022Q3","1277621.00"
"2022-12-31","2022Q4","1269446.00"
"2023-03-31","2023Q1","1257105.00"
"2023-06-30","2023Q2","1261941.00"
"2023-09-30","2023Q3","1234645.00"
"2023-12-31","2023Q4","1227428.00"
"2024-03-31","2024Q1","1222439.00"
"2024-06-30","2024Q2","1243755.00"
"2024-09-30","2024Q3","1224737.00"
"2024-12-31","2024Q4","1229548.00"
"2025-03-31","2025Q1","1239168.00"
"2025-06-30","2025Q2","1276106.00"
"2025-09-30","2025Q3","1265757.00"
